KN01a,Synthesizing Explainable Behavior for Human-AI Collaboration,Subbarao,,Kambhampati
KN02c,Preferences and Ethical Priorities: Thinking Fast and Slow in AI,Francesca,,Rossi
KN03e,Responsible Autonomy,Carles,,Sierra
KN04g,Building knowledge for AI agents with reinforcement learning,Doina,,Precup
